GID,tif,min,max,mean,count,sum,std,median,percentile_90
2006_709,2006_709_rbr_w_offset.tif,-76.10916900634766,444.00531005859375,186.35766088696232,2999,558886.625,98.74403842900008,189.13034057617188,316.7171936035156
1996_460,1996_460_rbr_w_offset.tif,-222.2965545654297,624.42626953125,320.0966837926203,17128,5482616.0,151.3408687954371,326.716552734375,518.7102661132812
2003_896,2003_896_rbr_w_offset.tif,-422.5274658203125,311.97607421875,-0.48644344035748066,12686,-6171.021484375,26.37237498440015,2.582244396209717,22.503215789794922
2024_639,2024_639_rbr_w_offset.tif,-18.721538543701172,451.30914306640625,250.0962801846591,1408,352135.5625,104.56384930806242,272.8227844238281,368.2928466796875
1996_499,1996_499_rbr_w_offset.tif,-149.710205078125,524.4158325195312,268.23410395253075,30841,8272608.0,123.77721582615139,293.5773010253906,409.68780517578125
1992_6,1992_6_rbr_w_offset.tif,-520.4166870117188,534.5626831054688,-1.6687420687758254,159969,-266947.0,141.46403736798092,-45.43877410888672,232.72592163085938
1989_1325,1989_1325_rbr_w_offset.tif,-88.2863998413086,629.7836303710938,338.0283223638146,28564,9655441.0,125.81216507987628,348.76092529296875,494.19891357421875
1989_1118,1989_1118_rbr_w_offset.tif,-79.73119354248047,537.2374877929688,248.40049152372353,9969,2476304.5,95.56147217932168,260.0367736816406,361.6278381347656
2003_889,2003_889_rbr_w_offset.tif,-62.5341682434082,62.68901824951172,-1.011639118650012,4188,-4236.74462890625,16.332786389190964,-0.8223020434379578,19.808731079101562
2000_538,2000_538_rbr_w_offset.tif,-73.35017395019531,513.9765014648438,147.34561859339408,439,64684.7265625,178.58667547855697,107.55347442626953,416.21435546875
1999_430,1999_430_rbr_w_offset.tif,-820.5801391601562,608.865234375,86.43063020955051,25674,2219020.0,192.19896988426277,7.923225402832031,366.01727294921875
1991_2,1991_2_rbr_w_offset.tif,-100.45804595947266,505.8598327636719,223.98866407982263,4510,1010188.875,117.33554793725878,229.72825622558594,368.9088439941406
1992_36,1992_36_rbr_w_offset.tif,-124.66024017333984,42.583316802978516,-5.148485170414923,2151,-11074.3916015625,14.32029134820525,-4.760828495025635,11.558874130249023
1991_79,1991_79_rbr_w_offset.tif,-276.20843505859375,375.7185974121094,142.94401283566964,17763,2539114.5,63.030206646456705,148.04161071777344,217.5882568359375
1989_871,1989_871_rbr_w_offset.tif,-61.3909912109375,596.147216796875,312.40725341280523,5201,1624830.125,121.79370518760905,322.69464111328125,465.1042785644531
2023_1614,2023_1614_rbr_w_offset.tif,-62.47715377807617,484.5918273925781,264.5471586221122,1212,320631.15625,127.90847478665812,303.6925048828125,405.2003479003906
1998_618,1998_618_rbr_w_offset.tif,-938.1200561523438,494.4215087890625,140.48459100769918,23509,3302652.25,185.1407898480369,153.967041015625,373.65582275390625
1988_22,1988_22_rbr_w_offset.tif,-484.50933837890625,420.1719970703125,137.15479115479116,6512,893152.0,147.85451672247024,160.06356811523438,312.8096008300781
2003_468,2003_468_rbr_w_offset.tif,-99.70523071289062,626.8636474609375,331.9190041902884,40570,13465954.0,127.77213732836888,356.89605712890625,477.2052917480469
1989_948,1989_948_rbr_w_offset.tif,-72.3813705444336,586.3656616210938,265.19891048292106,1698,450307.75,134.4032604052569,272.0551452636719,436.4935607910156
2009_1217,2009_1217_rbr_w_offset.tif,-101.92070770263672,375.5621643066406,100.714529454023,1740,175243.28125,142.04055184148942,81.7214126586914,305.9576110839844
1995_1226,1995_1226_rbr_w_offset.tif,-121.34913635253906,577.5465698242188,199.56672099087353,7670,1530676.75,174.3756902185655,168.3112030029297,453.6595764160156
2006_896,2006_896_rbr_w_offset.tif,-76.18079376220703,566.0623779296875,237.210902098736,4193,994625.3125,136.25225676440454,233.60443115234375,430.8515319824219
1986_49,1986_49_rbr_w_offset.tif,-354.30731201171875,503.4776611328125,108.23559187078183,13187,1427302.75,150.42018043108075,101.95093536376953,308.0641174316406
1988_139,1988_139_rbr_w_offset.tif,-241.9775390625,593.106689453125,278.83592550443467,55359,15436078.0,120.26753250876507,291.5837707519531,425.0640869140625
1997_431,1997_431_rbr_w_offset.tif,-59.34048843383789,334.4405212402344,114.94953793774319,1542,177252.1875,72.83313787747713,109.54231262207031,212.3778533935547
2006_870,2006_870_rbr_w_offset.tif,-45.49434280395508,271.1695251464844,134.4842469262295,915,123053.0859375,53.886353983648014,138.51675415039062,202.6744842529297
2011_733,2011_733_rbr_w_offset.tif,-97.0499496459961,493.5564270019531,270.274532480315,1270,343248.65625,99.37872102379617,282.2926940917969,383.17462158203125
