GID,mean_ndvi
1998_879,0.6379188005480064
1998_880,0.6821611434892022
1998_872,0.5411388638894088
1998_610,NA
1998_675,NA
1999_430,0.6022650859576851
1999_435,0.6072928137333379
1999_700,0.6963627477543559
1999_714,0.674172940865141
2000_540,0.6875298928904369
2000_538,0.7378731203579544
2000_539,0.7021018558154095
2000_543,0.7304008716301055
2001_354,0.6803388896858392
2001_314,0.6441957734192854
2001_288,0.5850558958292675
2001_363,0.7343669951851683
2001_380,0.7280360773871646
2001_383,0.7697957984234046
2001_366,0.7227679335978479
2001_382,0.7086202420128167
2001_265,0.6901233353131946
2001_284,0.7468664729701339
2001_374,0.7767022569243194
2001_376,0.7479933226484293
2002_467,0.678052008100492
2002_448,0.5860137098244613
2002_462,0.5953216186888703
2002_732,0.6560087097307307
2002_645,0.6557777542372406
2002_618,0.7232427134986334
2002_545,0.6936068623610578
2002_512,0.6913052288119371
2002_513,0.773334430249161
2002_599,0.7902155845888036
2002_556,0.691838768706325
2002_570,0.7058826737111524
2002_575,0.7408653134178299
2002_579,0.6922864886336466
2002_734,0.7094113000800025
2003_717,0.6078669464447684
2003_898,0.5288887156021321
2003_728,0.6576265919898002
2003_569,0.5272803552295651
2003_896,NA
2003_891,0.6852443349949212
2003_889,0.7727916273420111
2003_893,0.6921567191337534
2003_537,0.7343780779925423
2003_585,0.6121515619174843
2003_892,0.7236304537507735
2005_472,0.6839609395251398
2006_892,NA
2006_886,0.7413910145254438
2006_891,0.6932250855683065
2006_888,0.7197506686284199
2006_894,0.6545960561208514
2007_993,0.4951217492344621
2009_367,0.4759952905256279
2009_1240,0.5511228945281991
2009_1217,0.5275036536847018
2009_1239,NA
2009_1244,NA
2009_410,0.6918054977804251
2010_532,0.5407721376724852
2010_877,0.7267194174701128
2010_878,0.7259204654502376
2010_883,0.6967151049807523
2010_475,0.7127513033333055
2010_487,0.710843277581543
2010_882,0.6662017542535494
2011_739,0.6641202141083616
2011_366,0.6187666197921214
2011_453,0.6384173299820421
2012_1061,0.6685079483974349
2012_724,0.761913613229227
2012_1052,0.6495059698685721
2012_672,NA
2012_654,NA
2012_1062,0.7255038822193511
2012_1057,NA
2012_665,NA
2012_699,NA
2013_1188,0.6028152418343284
2013_749,0.5670357671960586
2013_908,0.580430569580522
2013_702,0.6217270175316614
2013_724,0.6814046617081575
2013_1189,0.70228263088596
2013_848,0.6889343490587094
2013_726,0.6608037593971312
2013_850,0.6848823313823538
2014_891,0.6978414490721927
2015_957,0.6447410958323966
2015_1991,0.5225848012366476
2015_1042,0.5782290199325641
2015_961,0.6899062349310346
2015_1987,0.7031750758095933
2015_1055,0.6802940991290792
2015_1013,0.6992716575394307
2015_914,0.7093376600826591
2015_893,0.7054269131955426
2015_1049,0.6695483253355806
2015_1992,0.7531022572603377
2015_1994,0.5792135823453926
2016_599,0.5897710988250837
2016_600,0.7150818762261317
2016_541,0.6742306154835671
2017_1548,0.6798319534669554
2017_3698,0.7371132692699035
2017_1877,0.7216759760495118
2017_2115,0.7390353503361932
2017_1677,0.7869434952624009
2017_2252,0.763041975489096
2017_3697,0.7847750009003248
2017_1542,0.6877734434095775
2017_1738,0.7560478726094897
2017_1780,0.6865021651528788
2017_1726,0.7472183836021191
2017_1452,0.6746363928783005
2017_1770,0.774339284601
2017_1772,0.7174780613986849
2017_1616,0.8277189193569402
2017_2128,0.7641050491080722
2017_1236,0.7643830875076157
2017_2048,0.7302449519608996
2017_2078,0.7071861271860174
2017_1629,0.7731351591923671
2017_2037,0.5786397449521784
2017_3743,0.7808618698312347
2017_1415,0.7570271288082713
2017_1666,0.77945989074679
2017_3699,0.7553013377397263
2017_1803,0.7041194665054286
2017_1564,0.7514925511979529
2017_1668,0.7695830485713249
2017_1970,0.7456154909591103
2017_1471,0.7410349181522488
2018_2810,0.6661950926864597
2018_2019,0.5980017674752326
2018_1466,0.6371546986888766
2018_342,0.6470113989393812
2018_519,0.6789301541093551
2018_2018,0.5759360452183814
2018_1717,0.7502304363228263
2018_969,0.6123208821284776
2018_1927,0.6617971465110207
2018_2063,0.6840772117698536
2018_710,0.7008680795084233
2018_1946,0.6846544554935836
2018_106,NA
2019_1522,0.6173300971355571
2019_605,0.7331282269572762
2019_607,NA
2019_630,NA
2019_1524,0.6021420536728952
2019_1523,0.45894430787318286
2019_1525,0.681671509036696
2019_608,0.658718295967397
2020_527,0.7002121068870651
2020_536,0.6965911346494115
2020_309,0.7228497722645892
2020_538,0.6689963158804821
2020_539,0.7662349013112123
