GID,fwi_90th,dmc_90th,dc_90th,isi_90th,bui_90th,ffmc_90th
1990_21,0.6436941844369466,1.9671734189951615,23.307744628906264,0.09778057092217508,3.0853572179716298,45.383298654450414
1990_22,2.817825906322225,4.255722999714579,34.67366958007814,0.9199317038039392,6.508766120934584,75.07807638918189
1990_24,0.5101755873397126,1.5729913246537666,23.760246926720686,0.03774969004277681,2.5202985789644647,39.82727185743793
1990_25,1.3006241302917712,2.737265788481663,32.0991727773187,0.5457595199178373,4.399977615378486,63.71636421037643
1990_26,2.9505293392283933,4.428184785951491,34.69286489257815,0.944313911787904,6.7106940598096685,75.72842687465635
1990_27,0.44161137272428497,1.5161819884846162,14.838297846466688,0.09330188093055428,2.0680150076870936,45.337720927097976
1990_29,2.99969653733632,4.491191216948204,34.84436076049808,0.9467553498711121,6.791865441758439,76.34813810766991
1990_36,0.7178792669588867,2.1706846014236465,23.452665484658237,0.21393318024809438,3.319564659408776,51.37057581843077
1990_37,0.9973398513814886,2.393824166222691,27.291748596191432,0.49149827728744644,3.9264392565802075,61.452307034456055
1990_38,0.6852177353501447,1.8869078609267527,23.91836386300497,0.22948954313807585,3.1705861232481864,52.394397652655385
1990_39,5.030415514079506,7.277103502506772,43.24196729736331,1.2178061057028582,10.244049688837727,79.6656975180243
1990_47,0.9846101552381814,2.3781548476427745,23.728199675911313,0.4995206576466088,3.917457266141435,61.84906216102405
1990_48,0.9686573682417425,2.539821784104273,28.387377529069376,0.4735751264502244,3.853004669072565,60.938276993464555
1990_49,1.6638436923557007,3.406069767013151,38.38865060001137,0.34905209117372993,5.441728741009714,57.02076365477708
1990_50,1.2211678175773546,2.7905507257135787,27.244067730241895,0.5217369139188651,4.337712784656964,61.86059446821359
1990_61,0.8352601301528244,2.286634562457936,23.860572877739926,0.4262370372566744,3.613571902765714,59.29161553725005
1990_62,0.9930649362486508,2.5092587935935944,24.77957866403643,0.5234376953746719,3.944945981788544,62.399752996693735
1990_63,2.4376832291403567,3.818389729867198,37.25134878571147,0.847358715150215,5.951547908044015,72.84232865995371
1990_71,1.9518616770857353,3.576403251483309,30.378321069688532,0.3355506764819974,5.346311579717539,55.13450665238008
1990_72,1.1537745741446592,2.7303200958020692,24.08107801354451,0.5894052001178349,4.254654947072843,64.51705036240948
1990_73,1.1921461285490647,2.9086006452362696,28.134087943013665,0.5135072777554425,4.589787890867447,61.705062412609834
1990_74,1.448065422054817,3.0949216358886797,29.995624028466693,0.5951269522023519,4.619334196593137,65.31886341569036
1990_75,0.784200374322416,2.418770548317696,22.744865855994583,0.25413323979294666,3.618047762084656,52.833574811522865
1990_79,1.5758014089101975,3.246617493500143,29.96627319842664,0.3375877490581397,4.839392693382346,55.71633389053538
1990_89,0.6607911169600564,2.1138315004304857,19.270758896771625,0.1497592207329589,2.9219737369430434,48.76146739523641
1990_9,0.948363978059982,2.830423859042604,23.494584008789097,0.26518552337156226,4.139532818243318,53.450710431474974
1990_90,1.1930423838683692,2.769784891439204,25.13435126953128,0.4127781046024458,4.340939547990925,58.97369856122834
1990_98,1.4967448921291833,3.2590015482858985,21.63765148925783,0.28986065266790834,4.850097469597271,53.24432446320991
1990_99,0.3928381711881375,1.2235974110214376,13.091302570072184,0.031667340663049305,1.957772428615439,38.91163683500598
1991_102,2.3810677751059552,3.8720547626299813,42.65280688239468,0.593430371244763,6.0792426519008,63.48538602801379
1991_105,3.8732819832031504,4.93819986979256,63.080077437955964,0.8830952022634934,8.21402329822347,75.35880909787888
1991_108,0.7368901211805444,2.153726956411196,27.45906985356665,0.17989140931776462,3.4754288515664316,50.30330268150378
1991_109,2.104033641337334,3.7582161366411118,41.95856915039064,0.5156069816612848,6.16833110312774,62.02976490994659
1991_119,3.7213991145574483,4.7833891651970495,59.2779581519905,1.0686515902673368,7.951426510820558,76.80965934316781
1991_120,2.56172960026736,4.49192745555338,26.779466454025815,0.7352769138321952,6.29048978499683,70.3654478015134
1991_131,4.464670163934804,6.559817648980854,39.77548178310878,1.1228300216776155,9.2891523891553,78.95998704905512
1991_2,0.6292585686449436,2.2248360431232888,13.925006424943458,0.435562337148439,2.7137561129371814,57.43447352035223
1991_26,1.8575263930525696,3.7974260593262095,32.52944806094667,0.3719631384148575,6.07948251802482,57.3761511218365
1991_44,4.4242480286054935,5.817839607149228,61.35847335547044,1.0088846143221564,9.40548630820023,77.77292675971333
1991_55,1.9978180095352502,3.3621579135189466,58.20417528293807,0.5517397096633568,5.897585206374034,64.53377675736647
1991_56,1.8999479158143702,3.284248391238469,38.77847666478297,0.3295998696692929,5.4053161908942275,55.365814012756935
1991_58,5.578809511526738,7.044959118117619,74.57954569535715,1.4223148337854727,11.437103421473982,81.02240796451252
1991_59,3.902397212899006,5.0383983963156815,60.31388339529888,1.0431781123708337,8.327889365952476,77.54317940503864
1991_63,0.9860795094532493,2.5780045274270904,37.112336592436655,0.25700836339078126,4.261306465280275,52.44139137795291
1991_65,1.4387638997856644,3.1567220187157154,47.798000633744365,0.21090104397090012,5.241217385285921,49.59232968304188
1991_67,3.781663479264349,5.123490394483083,50.675655150174336,0.9936118261679362,8.179306844672693,77.51509466401018
1991_68,6.396806377864214,7.813346695182726,72.58202846679696,1.5884906421944869,12.310786128351722,82.04273964231236
1991_70,2.3084023981307906,3.660339053787949,41.504362858904784,0.6061012571236075,6.0704183516225045,65.84784933602711
1991_73,0.7443832589505066,2.090326911084203,45.21587913473887,0.11868117148254886,3.686615026767068,46.809216195972994
1991_79,6.116618638816467,7.139820848784209,74.56405444946293,1.7128892288233488,11.514858954313944,82.44326089906843
1991_82,8.15350675587559,11.744176167832652,71.79340885714363,1.5789048038912974,16.722566461782044,82.09537109314951
1991_84,NA,NA,NA,NA,NA,NA
