GID,NFIREID,fire_id,evi_period_start,evi_period_end,total_pixels,mean_evi,fire_processing_time_seconds,total_processing_time_seconds,avg_processing_time_seconds
2012_654,654,2012_654,2012-06-15,2012-07-15,0,,2.5778491497039795,6863.984381914139,5.826811869197062
2012_1062,1062,2012_1062,2012-06-15,2012-07-15,1173,0.3701548079551837,2.1808462142944336,6863.984381914139,5.826811869197062
2012_1057,1057,2012_1057,2012-06-16,2012-07-16,0,,2.1318089962005615,6863.984381914139,5.826811869197062
2012_665,665,2012_665,2012-06-30,2012-07-30,0,,2.3686399459838867,6863.984381914139,5.826811869197062
2012_699,699,2012_699,2012-08-12,2012-09-12,0,,2.498811721801758,6863.984381914139,5.826811869197062
2013_1188,1188,2013_1188,2013-05-01,2013-06-01,725,0.22672826650751984,1.4146859645843506,6863.984381914139,5.826811869197062
2013_749,749,2013_749,2013-05-04,2013-06-04,9188,0.2684380090520692,2.1676688194274902,6863.984381914139,5.826811869197062
2013_908,908,2013_908,2013-05-19,2013-06-19,14156,0.25238878500949186,1.8269166946411133,6863.984381914139,5.826811869197062
2013_702,702,2013_702,2013-05-21,2013-06-21,3040,0.304179742806702,1.7009828090667725,6863.984381914139,5.826811869197062
2013_724,724,2013_724,2013-06-01,2013-07-01,7553,0.3483232155742042,2.1795096397399902,6863.984381914139,5.826811869197062
2013_1189,1189,2013_1189,2013-06-01,2013-07-01,1775,0.36279420085887304,2.3437280654907227,6863.984381914139,5.826811869197062
2013_848,848,2013_848,2013-06-04,2013-07-04,3653,0.35333628802522227,1.9670729637145996,6863.984381914139,5.826811869197062
2013_726,726,2013_726,2013-06-05,2013-07-05,12147,0.37422618705826594,3.589668035507202,6863.984381914139,5.826811869197062
2013_850,850,2013_850,2013-06-06,2013-07-06,10422,0.3517144676375821,4.280174970626831,6863.984381914139,5.826811869197062
2014_891,891,2014_891,2014-07-08,2014-08-08,980,0.3832465407546626,2.334731101989746,6863.984381914139,5.826811869197062
2015_957,957,2015_957,2015-05-08,2015-06-08,3083,0.2546332551538989,2.553757905960083,6863.984381914139,5.826811869197062
2015_1991,1991,2015_1991,2015-05-08,2015-06-08,353,0.2273398864064556,2.5735929012298584,6863.984381914139,5.826811869197062
2015_1042,1042,2015_1042,2015-05-16,2015-06-16,48186,0.2724718487113371,6.0941221714019775,6863.984381914139,5.826811869197062
2015_961,961,2015_961,2015-05-26,2015-06-26,1595,0.3397487300882201,5.2656638622283936,6863.984381914139,5.826811869197062
2015_1987,1987,2015_1987,2015-05-26,2015-06-26,455,0.3189178451345188,2.002912998199463,6863.984381914139,5.826811869197062
2015_1055,1055,2015_1055,2015-05-27,2015-06-27,7800,0.31752413480791786,1.8463432788848877,6863.984381914139,5.826811869197062
2015_1013,1013,2015_1013,2015-05-29,2015-06-29,2262,0.30558203984601645,1.533630132675171,6863.984381914139,5.826811869197062
2015_914,914,2015_914,2015-06-07,2015-07-07,4185,0.3434810277894998,2.2145299911499023,6863.984381914139,5.826811869197062
2015_893,893,2015_893,2015-06-10,2015-07-10,7193,0.35335168675126405,5.661927938461304,6863.984381914139,5.826811869197062
2015_1049,1049,2015_1049,2015-06-12,2015-07-12,1143,0.32965633681116535,2.0400240421295166,6863.984381914139,5.826811869197062
2015_1992,1992,2015_1992,2015-06-14,2015-07-14,1437,0.4177715156163457,2.7146947383880615,6863.984381914139,5.826811869197062
2015_1994,1994,2015_1994,2015-06-14,2015-07-14,2104,0.2828824845475346,2.4124889373779297,6863.984381914139,5.826811869197062
2016_599,599,2016_599,2016-04-23,2016-05-23,2630,0.2523071726672606,1.6666202545166016,6863.984381914139,5.826811869197062
2016_600,600,2016_600,2016-06-09,2016-07-09,952,0.43065479131091183,10.983655214309692,6863.984381914139,5.826811869197062
2016_541,541,2016_541,2016-06-20,2016-07-20,840,0.35387005627076434,1.7697739601135254,6863.984381914139,5.826811869197062
2017_1548,1548,2017_1548,2017-06-05,2017-07-05,1782,0.27998830363483584,2.575005054473877,6863.984381914139,5.826811869197062
2017_3698,3698,2017_3698,2017-06-05,2017-07-05,1029,0.3963620807459863,3.2515218257904053,6863.984381914139,5.826811869197062
2017_1877,1877,2017_1877,2017-06-19,2017-07-19,4793,0.34680097537209464,1.5877571105957031,6863.984381914139,5.826811869197062
2017_2115,2115,2017_2115,2017-06-25,2017-07-25,396,0.4461730322228455,1.4430789947509766,6863.984381914139,5.826811869197062
2017_1677,1677,2017_1677,2017-06-29,2017-07-29,2681,0.4138087325501606,3.5998451709747314,6863.984381914139,5.826811869197062
2017_2252,2252,2017_2252,2017-06-29,2017-07-29,2948,0.4085768409523948,2.581123113632202,6863.984381914139,5.826811869197062
2017_3697,3697,2017_3697,2017-06-29,2017-07-29,859,0.4043146209704674,1.707348108291626,6863.984381914139,5.826811869197062
