GID,AOU
2003_708,FALSE
1988_85,FALSE
2017_2106,FALSE
2001_364,FALSE
2003_735,FALSE
1994_43,FALSE
1998_865,FALSE
1991_58,FALSE
1989_1277,FALSE
1996_582,TRUE
2003_750,TRUE
2006_580,FALSE
2011_446,FALSE
2012_1056,FALSE
2017_2120,FALSE
2023_175,TRUE
2014_1295,FALSE
2018_913,FALSE
2012_1055,FALSE
2021_1495,FALSE
1996_537,FALSE
1995_1404,FALSE
1986_40,FALSE
2023_171,FALSE
2018_2811,TRUE
2018_1804,FALSE
1999_432,FALSE
1996_517,FALSE
2011_455,TRUE
2003_713,FALSE
1987_30,FALSE
2018_2101,FALSE
2009_430,FALSE
1998_869,FALSE
2011_733,FALSE
2023_159,TRUE
1989_1276,TRUE
2018_1731,TRUE
1988_84,FALSE
2017_2059,FALSE
2003_888,FALSE
1996_562,FALSE
1996_564,FALSE
1996_526,FALSE
2012_1042,FALSE
2017_2197,FALSE
1995_1220,TRUE
1999_455,FALSE
2021_1637,FALSE
2006_729,FALSE
1989_1326,FALSE
2021_1066,FALSE
2016_1174,FALSE
2006_599,FALSE
1996_588,TRUE
2017_3694,FALSE
2006_617,FALSE
1995_1102,FALSE
1995_1106,TRUE
1996_579,TRUE
2009_443,FALSE
2011_731,FALSE
1988_82,FALSE
2011_513,FALSE
1998_668,FALSE
2002_655,TRUE
2021_2318,FALSE
1999_432,FALSE
2003_692,FALSE
2011_454,FALSE
1989_1037,FALSE
2011_504,FALSE
2021_2328,FALSE
1991_55,FALSE
1996_529,TRUE
1996_549,FALSE
2002_723,FALSE
1995_1146,TRUE
1989_905,FALSE
2012_704,FALSE
2020_531,FALSE
2015_1091,FALSE
2015_1136,TRUE
2021_2225,FALSE
1988_65,FALSE
2008_779,FALSE
1996_526,FALSE
2001_367,FALSE
1995_1048,FALSE
1988_77,FALSE
2012_686,FALSE
2013_1184,TRUE
1998_674,FALSE
1995_1165,TRUE
1989_1285,FALSE
2006_604,FALSE
1990_38,FALSE
2011_604,FALSE
1996_598,TRUE
2017_3696,FALSE
1990_49,FALSE
1999_453,FALSE
2023_201,TRUE
1988_68,FALSE
1987_67,FALSE
1991_63,FALSE
2010_876,TRUE
1996_511,FALSE
1991_68,FALSE
2011_599,FALSE
2023_174,FALSE
2011_472,FALSE
1990_18,FALSE
2006_624,FALSE
2011_483,FALSE
1988_73,FALSE
2011_741,FALSE
1989_881,FALSE
1995_1121,TRUE
2010_546,TRUE
2013_1187,FALSE
2006_583,FALSE
2019_1520,TRUE
1989_849,FALSE
2017_3695,FALSE
2011_737,FALSE
1990_19,FALSE
1990_21,FALSE
2012_669,FALSE
1996_498,FALSE
1988_69,FALSE
1987_47,TRUE
2020_338,FALSE
2020_529,FALSE
2012_1054,FALSE
1988_64,FALSE
2012_669,FALSE
2011_740,FALSE
1990_25,FALSE
2011_742,FALSE
1992_29,FALSE
2021_2312,TRUE
1988_61,FALSE
1988_66,FALSE
1988_51,FALSE
1990_11,TRUE
1988_60,TRUE
1995_1108,FALSE
2012_1041,TRUE
2021_1303,TRUE
2012_776,TRUE
2019_1238,FALSE
1986_11,FALSE
1996_715,TRUE
1988_41,FALSE
2015_1148,FALSE
2002_665,FALSE
2002_675,TRUE
2010_875,TRUE
2021_277,FALSE
2015_1178,TRUE
2021_297,TRUE
1995_1241,TRUE
2020_526,FALSE
2021_2316,TRUE
2018_3146,FALSE
1995_1255,TRUE
2018_736,FALSE
2018_736,FALSE
2012_1043,TRUE
2002_716,TRUE
1988_40,FALSE
2018_2807,TRUE
1988_38,FALSE
2003_815,TRUE
2021_1988,TRUE
1988_43,FALSE
2021_2313,TRUE
2018_403,TRUE
1995_1250,TRUE
1996_656,TRUE
2021_2321,TRUE
1988_33,FALSE
2015_1157,FALSE
2021_277,FALSE
1997_338,FALSE
2013_929,FALSE
2011_728,TRUE
2003_883,TRUE
1994_10,FALSE
1995_1271,TRUE
1995_1276,TRUE
1995_1205,FALSE
2011_725,TRUE
1995_1322,TRUE
1988_34,FALSE
1988_37,FALSE
1988_42,FALSE
2017_2361,FALSE
2015_1140,TRUE
2021_2306,TRUE
2015_1145,FALSE
1996_644,TRUE
2014_1475,FALSE
1988_26,FALSE
2006_885,FALSE
1995_1399,TRUE
1988_30,FALSE
2021_2223,FALSE
1987_31,FALSE
2018_561,FALSE
2006_718,FALSE
2006_746,FALSE
2012_795,FALSE
1996_683,FALSE
2023_1633,TRUE
1995_1327,FALSE
2011_724,FALSE
1995_1315,TRUE
2021_1204,TRUE
2006_745,FALSE
2005_530,FALSE
1991_2,FALSE
1995_1317,TRUE
2021_1573,FALSE
2011_723,FALSE
2005_599,FALSE
2006_743,FALSE
2005_1001,FALSE
2006_744,FALSE
2024_651,TRUE
2006_742,FALSE
