GID,tif,median,percentile_95
2012_1041,2012_1041_rbr_w_offset.tif,120.04304504394531,223.97915649414062
1996_396,1996_396_rbr_w_offset.tif,256.19085693359375,389.8736877441406
2017_1471,2017_1471_rbr_w_offset.tif,91.95455169677734,435.3648376464844
2006_622,2006_622_rbr_w_offset.tif,240.0615692138672,402.9006652832031
2024_651,2024_651_rbr_w_offset.tif,145.97897338867188,314.3116455078125
2003_807,2003_807_rbr_w_offset.tif,255.598388671875,401.87109375
1998_874,1998_874_rbr_w_offset.tif,-25.485916137695312,455.054931640625
1998_892,1998_892_rbr_w_offset.tif,80.38374328613281,407.4717712402344
1996_614,1996_614_rbr_w_offset.tif,142.67430114746094,396.7865905761719
1996_429,1996_429_rbr_w_offset.tif,262.37091064453125,417.9059753417969
2002_512,2002_512_rbr_w_offset.tif,203.51449584960938,451.7878112792969
1989_1274,1989_1274_rbr_w_offset.tif,255.9151153564453,401.67913818359375
2017_1629,2017_1629_rbr_w_offset.tif,161.96957397460938,378.3617248535156
1995_1192,1995_1192_rbr_w_offset.tif,143.54641723632812,434.884521484375
2018_561,2018_561_rbr_w_offset.tif,293.1477966308594,450.5509033203125
1989_920,1989_920_rbr_w_offset.tif,123.77174377441406,341.9939880371094
2009_1241,2009_1241_rbr_w_offset.tif,224.6790771484375,401.77685546875
1988_92,1988_92_rbr_w_offset.tif,250.3954315185547,457.23492431640625
2017_1666,2017_1666_rbr_w_offset.tif,250.20037841796875,412.60113525390625
1996_587,1996_587_rbr_w_offset.tif,208.7659149169922,432.048095703125
2012_1055,2012_1055_rbr_w_offset.tif,21.82880210876465,329.5196228027344
1996_561,1996_561_rbr_w_offset.tif,355.63336181640625,548.2496948242188
2017_1286,2017_1286_rbr_w_offset.tif,236.51596069335938,414.1214904785156
1996_364,1996_364_rbr_w_offset.tif,276.1741943359375,425.5661926269531
1999_429,1999_429_rbr_w_offset.tif,296.24169921875,490.3458251953125
2002_563,2002_563_rbr_w_offset.tif,355.18011474609375,467.9314880371094
1996_665,1996_665_rbr_w_offset.tif,31.98379135131836,227.41885375976562
1996_683,1996_683_rbr_w_offset.tif,41.69404602050781,186.85116577148438
